"","REGION","DEPTH_BIN","OBS_YEAR","TOT_AREA_HA","tot.N","Response","Fish.grp","TAXONNAME","Size.bin","Size","Fxn.grp","pool.mean","pool.var","pool.se"
"1","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","herb_all",NA,NA,NA,NA,0.140725976507356,5.52771436762134e-05,0.0074348600307076
"2","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","herb_fxngrp",NA,NA,NA,"Browser",0.00368319393647481,2.5274311862746e-07,0.000502735634928995
"3","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","herb_fxngrp",NA,NA,NA,"Detritivore",0.0234980504869966,5.13516376177817e-06,0.0022660899721278
"4","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","herb_fxngrp",NA,NA,NA,"Excavator",0.00112854324145608,7.51464571791786e-08,0.000274128541343616
"5","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","herb_fxngrp",NA,NA,NA,"Grazer",0.103596133161189,3.23860407142963e-05,0.00569087345794091
"6","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","herb_fxngrp",NA,NA,NA,"Scraper",0.00873672548068338,1.77403421379045e-06,0.00133192875702511
"7","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","herb_NOdetrit",NA,NA,NA,NA,0.11722792602036,3.7228619804284e-05,0.00610152602258517
"8","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus guttatus","10 cmTL","(10,20]",NA,0,0,0
"9","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus guttatus","10 cmTL","(20,30]",NA,0,0,0
"10","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus guttatus","10 cmTL","[0,10]",NA,0,0,0
"11","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus guttatus","5 cmTL","(10,15]",NA,0,0,0
"12","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus guttatus","5 cmTL","(15,20]",NA,0,0,0
"13","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus guttatus","5 cmTL","(20,25]",NA,0,0,0
"14","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus guttatus","5 cmTL","(5,10]",NA,0,0,0
"15","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus lineatus","10 cmTL","(10,20]",NA,0,0,0
"16","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus lineatus","10 cmTL","(20,30]",NA,7.66148418206486e-05,5.86022626691029e-09,7.6552114712203e-05
"17","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus lineatus","10 cmTL","[0,10]",NA,0,0,0
"18","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus lineatus","5 cmTL","(10,15]",NA,0,0,0
"19","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus lineatus","5 cmTL","(15,20]",NA,0,0,0
"20","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus lineatus","5 cmTL","(20,25]",NA,7.66148418206486e-05,5.86022626691029e-09,7.6552114712203e-05
"21","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus lineatus","5 cmTL","(25,30]",NA,0,0,0
"22","MARIAN","Deep",2011,5640.66323445,119,"abund_m2","priority","Acanthurus lineatus","5 cmTL","(5,10]",NA,0,0,0
