"","REGION","OBS_YEAR","TOT_AREA_HA","tot.N","Response","Fish.grp","TAXONNAME","Size.bin","Size","Fxn.grp","pool.mean","pool.var","pool.se"
"1","MARIAN",2011,15526.70946893,354,"abund_m2","herb_all",NA,NA,NA,NA,0.125961067965083,1.85493547820007e-05,0.00430689618890457
"2","MARIAN",2011,15526.70946893,354,"abund_m2","herb_fxngrp",NA,NA,NA,"Browser",0.00440219316883224,1.43937160824896e-07,0.000379390512302161
"3","MARIAN",2011,15526.70946893,354,"abund_m2","herb_fxngrp",NA,NA,NA,"Detritivore",0.0223729466311055,1.95394062935767e-06,0.00139783426390888
"4","MARIAN",2011,15526.70946893,354,"abund_m2","herb_fxngrp",NA,NA,NA,"Excavator",0.000878607366014415,3.73985537341022e-08,0.000193387056790526
"5","MARIAN",2011,15526.70946893,354,"abund_m2","herb_fxngrp",NA,NA,NA,"Grazer",0.0845064968044679,9.46153065807123e-06,0.00307596011971404
"6","MARIAN",2011,15526.70946893,354,"abund_m2","herb_fxngrp",NA,NA,NA,"Scraper",0.0137705511542043,1.1943153839148e-06,0.00109284737448319
"7","MARIAN",2011,15526.70946893,354,"abund_m2","herb_NOdetrit",NA,NA,NA,NA,0.103588121333977,1.23751384451136e-05,0.00351783149754413
"8","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus guttatus","10 cmTL","(10,20]",NA,0.00105149181192928,5.10885510858503e-07,0.000714762555579476
"9","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus guttatus","10 cmTL","(20,30]",NA,0,0,0
"10","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus guttatus","10 cmTL","[0,10]",NA,8.27686624418436e-05,6.55373055175045e-09,8.09551144261463e-05
"11","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus guttatus","5 cmTL","(10,15]",NA,0.000962476084477541,5.04570453607704e-07,0.00071033122809553
"12","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus guttatus","5 cmTL","(15,20]",NA,8.90157274517387e-05,6.31295389306816e-09,7.94540992842293e-05
"13","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus guttatus","5 cmTL","(20,25]",NA,0,0,0
"14","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus guttatus","5 cmTL","(5,10]",NA,8.27686624418436e-05,6.55373055175045e-09,8.09551144261463e-05
"15","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus lineatus","10 cmTL","(10,20]",NA,0.00383649614238976,2.52239982031548e-07,0.00050223498686526
"16","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus lineatus","10 cmTL","(20,30]",NA,0.000797841074857684,2.87311802236519e-08,0.000169502744000361
"17","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus lineatus","10 cmTL","[0,10]",NA,0.000568528008298339,2.04013954716243e-08,0.000142833453615126
"18","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus lineatus","5 cmTL","(10,15]",NA,0.00133618274576569,5.94532852901087e-08,0.000243830443731107
"19","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus lineatus","5 cmTL","(15,20]",NA,0.00250031339662407,1.17879186752374e-07,0.000343335385231954
"20","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus lineatus","5 cmTL","(20,25]",NA,0.000797841074857684,2.87311802236519e-08,0.000169502744000361
"21","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus lineatus","5 cmTL","(25,30]",NA,0,0,0
"22","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus lineatus","5 cmTL","(5,10]",NA,0.000523029493060569,1.86163365621256e-08,0.000136441696567162
"23","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus lineatus","5 cmTL","[0,5]",NA,4.54985152377706e-05,9.05973530311744e-10,3.00993941851284e-05
"24","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus nigricans","10 cmTL","(10,20]",NA,0,0,0
"25","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus nigricans","10 cmTL","(20,30]",NA,0,0,0
"26","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus nigricans","10 cmTL","[0,10]",NA,0,0,0
"27","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus nigricans","5 cmTL","(10,15]",NA,0,0,0
"28","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus nigricans","5 cmTL","(15,20]",NA,0,0,0
"29","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus nigricans","5 cmTL","(20,25]",NA,0,0,0
"30","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus nigricans","5 cmTL","(5,10]",NA,0,0,0
"31","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus nigricans","5 cmTL","[0,5]",NA,0,0,0
"32","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus triostegus","10 cmTL","(10,20]",NA,0.000476694768085206,3.15380002746413e-08,0.000177589414872174
"33","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus triostegus","10 cmTL","(20,30]",NA,1.10096861461735e-06,1.16197470870186e-12,1.07794930711136e-06
"34","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus triostegus","10 cmTL","[0,10]",NA,0.000109345545255557,3.10830027725005e-09,5.57521324906057e-05
"35","MARIAN",2011,15526.70946893,354,"abund_m2","priority","Acanthurus triostegus","5 cmTL","(10,15]",NA,0.000472716095298589,3.11217480608521e-08,0.000176413571079019
