"","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","OBS_YEAR","strata.N"
"1","MARIAN","Agrihan","Agrihan","Forereef","Deep",2011,8
"2","MARIAN","Agrihan","Agrihan","Forereef","Deep",2017,8
"3","MARIAN","Agrihan","Agrihan","Forereef","Mid",2011,4
"4","MARIAN","Agrihan","Agrihan","Forereef","Mid",2017,4
"5","MARIAN","Agrihan","Agrihan","Forereef","Shallow",2011,8
"6","MARIAN","Agrihan","Agrihan","Forereef","Shallow",2017,7
"7","MARIAN","Aguijan","Aguijan","Forereef","Deep",2011,5
"8","MARIAN","Aguijan","Aguijan","Forereef","Deep",2014,4
"9","MARIAN","Aguijan","Aguijan","Forereef","Deep",2017,7
"10","MARIAN","Aguijan","Aguijan","Forereef","Mid",2011,4
"11","MARIAN","Aguijan","Aguijan","Forereef","Mid",2014,4
"12","MARIAN","Aguijan","Aguijan","Forereef","Mid",2017,7
"13","MARIAN","Aguijan","Aguijan","Forereef","Shallow",2011,4
"14","MARIAN","Aguijan","Aguijan","Forereef","Shallow",2014,2
"15","MARIAN","Aguijan","Aguijan","Forereef","Shallow",2017,3
"16","MARIAN","Asuncion","Asuncion","Forereef","Deep",2011,7
"17","MARIAN","Asuncion","Asuncion","Forereef","Deep",2014,6
"18","MARIAN","Asuncion","Asuncion","Forereef","Deep",2017,6
"19","MARIAN","Asuncion","Asuncion","Forereef","Mid",2011,8
"20","MARIAN","Asuncion","Asuncion","Forereef","Mid",2014,12
"21","MARIAN","Asuncion","Asuncion","Forereef","Mid",2017,9
"22","MARIAN","Asuncion","Asuncion","Forereef","Shallow",2011,5
"23","MARIAN","Asuncion","Asuncion","Forereef","Shallow",2014,3
"24","MARIAN","Asuncion","Asuncion","Forereef","Shallow",2017,4
"25","MARIAN","Farallon de Pajaros","Farallon de Pajaros","Forereef","Deep",2011,3
"26","MARIAN","Farallon de Pajaros","Farallon de Pajaros","Forereef","Deep",2014,3
"27","MARIAN","Farallon de Pajaros","Farallon de Pajaros","Forereef","Deep",2017,5
"28","MARIAN","Farallon de Pajaros","Farallon de Pajaros","Forereef","Mid",2011,4
"29","MARIAN","Farallon de Pajaros","Farallon de Pajaros","Forereef","Mid",2014,6
"30","MARIAN","Farallon de Pajaros","Farallon de Pajaros","Forereef","Mid",2017,7
"31","MARIAN","Farallon de Pajaros","Farallon de Pajaros","Forereef","Shallow",2011,5
"32","MARIAN","Farallon de Pajaros","Farallon de Pajaros","Forereef","Shallow",2014,2
"33","MARIAN","Farallon de Pajaros","Farallon de Pajaros","Forereef","Shallow",2017,4
"34","MARIAN","Guam","GUA_ACHANG","Forereef","Deep",2014,5
"35","MARIAN","Guam","GUA_ACHANG","Forereef","Deep",2017,2
"36","MARIAN","Guam","GUA_ACHANG","Forereef","Mid",2011,2
"37","MARIAN","Guam","GUA_ACHANG","Forereef","Mid",2014,22
"38","MARIAN","Guam","GUA_ACHANG","Forereef","Mid",2017,2
"39","MARIAN","Guam","GUA_ACHANG","Forereef","Shallow",2011,3
"40","MARIAN","Guam","GUA_ACHANG","Forereef","Shallow",2014,5
"41","MARIAN","Guam","GUA_ACHANG","Forereef","Shallow",2017,2
"42","MARIAN","Guam","GUA_EAST_OPEN","Forereef","Deep",2011,8
"43","MARIAN","Guam","GUA_EAST_OPEN","Forereef","Deep",2014,11
"44","MARIAN","Guam","GUA_EAST_OPEN","Forereef","Deep",2017,6
"45","MARIAN","Guam","GUA_EAST_OPEN","Forereef","Mid",2011,11
