REGION,TAXONNAME
MARIAN,Acanthurus guttatus
MARIAN,Acanthurus lineatus
MARIAN,Acanthurus triostegus
MARIAN,Bolbometopon muricatum
MARIAN,Caranx ignobilis
MARIAN,Caranx melampygus
MARIAN,Cheilinus fasciatus
MARIAN,Cheilinus undulatus
MARIAN,Chlorurus frontalis
MARIAN,Chlorurus spilurus/sordidus
MARIAN,Ellochelon vaigiensis
MARIAN,Epinephelus hexagonatus
MARIAN,Epinephelus merra
MARIAN,Gerres oyena
MARIAN,Hipposcarus longiceps
MARIAN,Kyphosus cinerascens
MARIAN,Lethrinus harak
MARIAN,Lethrinus obsoletus
MARIAN,Lethrinus olivaceus
MARIAN,Lethrinus xanthochilus
MARIAN,Lutjanus fulvus
MARIAN,Mulloidichthys flavolineatus
MARIAN,Naso lituratus
MARIAN,Naso unicornis
MARIAN,Parupeneus barberinus
MARIAN,Plectropomus laevis
MARIAN,Scarus psittacus
MARIAN,Scarus schlegeli
MARIAN,Siganus argenteus
MARIAN,Siganus spinus
SAMOA,Acanthurus guttatus
SAMOA,Acanthurus lineatus
SAMOA,Acanthurus nigricans
SAMOA,Acanthurus xanthopterus
SAMOA,Bolbometopon muricatum
SAMOA,Caranx melampygus
SAMOA,Caranx sexfasciatus
SAMOA,Cephalopholis argus
SAMOA,Cheilinus undulatus
SAMOA,Chlorurus frontalis
SAMOA,Chlorurus japanensis
SAMOA,Chlorurus microrhinos
SAMOA,Ctenochaetus striatus
SAMOA,Epinephelus lanceolatus
SAMOA,Epinephelus melanostigma
SAMOA,Kyphosus cinerascens
SAMOA,Lethrinus rubrioperculatus
SAMOA,Lutjanus kasmira
SAMOA,Monotaxis grandoculis
SAMOA,Myripristis berndti
SAMOA,Naso lituratus
SAMOA,Naso unicornis
SAMOA,Pristipomoides zonatus
SAMOA,Sargocentron tiere
SAMOA,Scarus frenatus
SAMOA,Scarus globiceps
SAMOA,Scarus niger
SAMOA,Scarus oviceps
SAMOA,Scarus rubroviolaceus
SAMOA,Variola louti
